time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2010-04-21,97.855,97.895,97.84,97.865,0.05825,12.5,0.005,1.3390
2010-04-22,97.875,97.895,97.835,97.865,0.059,12.5,0.005,1.3295
2010-04-23,97.845,97.865,97.795,97.815,0.05975,12.5,0.005,1.3384
2010-04-26,97.815,97.85,97.79,97.835,0.05975,12.5,0.005,1.3383
2010-04-27,97.835,97.89,97.835,97.855,0.0595,12.5,0.005,1.3175
2010-04-28,97.87,97.9,97.845,97.88,0.05975,12.5,0.005,1.3221
2010-04-29,97.895,97.925,97.88,97.9,0.06,12.5,0.005,1.3233
2010-04-30,97.915,97.92,97.885,97.91,0.0585,12.5,0.005,1.3294
2010-05-03,97.89,97.92,97.845,97.875,0.05975,12.5,0.005,1.3195
2010-05-04,97.88,97.955,97.87,97.93,0.059,12.5,0.005,1.2987
2010-05-05,97.94,98.085,97.93,98.045,0.06275,12.5,0.005,1.2814
2010-05-06,98.04,98.105,98.02,98.065,0.06375,12.5,0.005,1.2620
2010-05-07,98.085,98.085,97.965,97.975,0.06625,12.5,0.005,1.2755
2010-05-10,97.955,98.08,97.945,98.05,0.0695,12.5,0.005,1.2787
2010-05-11,98.065,98.08,98.04,98.06,0.06925,12.5,0.005,1.2662
2010-05-12,98.065,98.105,98.06,98.085,0.06925,12.5,0.005,1.2614
2010-05-13,98.09,98.135,98.08,98.11,0.0695,12.5,0.005,1.2535
2010-05-14,98.125,98.125,98.08,98.09,0.0675,12.5,0.005,1.2358
2010-05-17,98.105,98.11,98.03,98.06,0.06975,12.5,0.005,1.2395
2010-05-18,98.05,98.1,98.025,98.085,0.0715,12.5,0.005,1.2202
2010-05-19,98.1,98.11,98.06,98.075,0.07125,12.5,0.005,1.2415
2010-05-20,98.08,98.085,98.04,98.07,0.0705,12.5,0.005,1.2487
2010-05-21,98.065,98.07,98.005,98.015,0.07025,12.5,0.005,1.2570
2010-05-24,98.005,98.015,97.935,97.99,0.07125,12.5,0.005,1.2372
2010-05-25,97.965,97.99,97.895,97.96,0.07325,12.5,0.005,1.2345
2010-05-26,97.965,98.03,97.955,97.995,0.07425,12.5,0.005,1.2178
2010-05-27,98.005,98.03,97.955,97.985,0.07575,12.5,0.005,1.2362
2010-05-28,97.965,98.03,97.91,97.975,0.08,12.5,0.005,1.2273
2010-05-31,97.975,97.995,97.95,97.975,0.0785,12.5,0.005,1.2306
2010-06-01,97.985,98.015,97.92,97.95,0.079,12.5,0.005,1.2229
2010-06-02,97.915,97.97,97.915,97.96,0.074,12.5,0.005,1.2249
2010-06-03,97.945,97.98,97.935,97.965,0.072,12.5,0.005,1.2163
2010-06-04,97.975,98.05,97.96,98.02,0.0705,12.5,0.005,1.1967
2010-06-07,98.035,98.085,98.02,98.07,0.067,12.5,0.005,1.1923
2010-06-08,98.07,98.14,98.06,98.13,0.069,12.5,0.005,1.1973
2010-06-09,98.13,98.145,98.11,98.125,0.0685,12.5,0.005,1.1979
2010-06-10,98.13,98.135,98.075,98.095,0.06875,12.5,0.005,1.2124
2010-06-11,98.105,98.13,98.095,98.115,0.06825,12.5,0.005,1.2112
2010-06-14,98.105,98.11,98.065,98.07,0.06675,12.5,0.005,1.2221
2010-06-15,98.075,98.09,98.035,98.045,0.06575,12.5,0.005,1.2332
2010-06-16,98.035,98.065,98.035,98.06,0.06475,12.5,0.005,1.2311
2010-06-17,98.055,98.06,98.01,98.025,0.065,12.5,0.005,1.2389
2010-06-18,98.025,98.035,97.965,97.965,0.06525,12.5,0.005,1.2388
2010-06-21,97.955,97.96,97.91,97.93,0.064,12.5,0.005,1.2312
2010-06-22,97.925,97.995,97.92,97.98,0.063,12.5,0.005,1.2271
2010-06-23,97.98,97.99,97.965,97.98,0.0605,12.5,0.005,1.2311
2010-06-24,97.975,98.015,97.975,98.005,0.05875,12.5,0.005,1.2333
2010-06-25,98.005,98.025,97.945,97.965,0.05675,12.5,0.005,1.2369
2010-06-28,97.965,97.98,97.94,97.965,0.0565,12.5,0.005,1.2277
2010-06-29,97.975,98.01,97.975,97.995,0.054,12.5,0.005,1.2188
2010-06-30,97.99,98.04,97.93,97.95,0.05675,12.5,0.005,1.2238
2010-07-01,97.935,97.95,97.84,97.86,0.06,12.5,0.005,1.2527
2010-07-02,97.85,97.885,97.835,97.865,0.058,12.5,0.005,1.2566
