time,open,high,low,close,Average True Range,Tick value,Tick size,CADUSD FX
2018-05-25,97.965,98.01,97.965,98.005,0.0315,12.5,0.005,0.7707
2018-05-28,98.01,98.045,98.01,98.035,0.0325,12.5,0.005,0.7695
2018-05-29,98.04,98.135,98.04,98.125,0.0365,12.5,0.005,0.768
2018-05-30,98.09,98.11,98.025,98.03,0.0385,12.5,0.005,0.7768
2018-05-31,98.015,98.075,97.995,98.065,0.04075,12.5,0.005,0.7717
2018-06-01,98.05,98.065,98.01,98.06,0.04225,12.5,0.005,0.772
2018-06-04,98.045,98.055,98.04,98.04,0.042,12.5,0.005,0.7734
2018-06-05,98.05,98.08,98.05,98.06,0.04325,12.5,0.005,0.7711
2018-06-06,98.05,98.055,98.035,98.04,0.04325,12.5,0.005,0.7726
2018-06-07,98.04,98.09,98.035,98.07,0.0445,12.5,0.005,0.7709
2018-06-08,98.08,98.1,98.06,98.075,0.04475,12.5,0.005,0.7735
2018-06-11,98.06,98.095,98.06,98.08,0.0445,12.5,0.005,0.7704
2018-06-12,98.085,98.095,98.08,98.085,0.04425,12.5,0.005,0.7683
2018-06-13,98.09,98.095,98.03,98.045,0.0445,12.5,0.005,0.7702
2018-06-14,98.05,98.065,98.04,98.05,0.0445,12.5,0.005,0.763
2018-06-15,98.055,98.105,98.055,98.09,0.0465,12.5,0.005,0.7573
2018-06-18,98.095,98.12,98.09,98.115,0.0455,12.5,0.005,0.7575
2018-06-19,98.135,98.155,98.13,98.145,0.04675,12.5,0.005,0.7527
2018-06-20,98.145,98.16,98.14,98.145,0.046,12.5,0.005,0.7513
2018-06-21,98.16,98.185,98.15,98.17,0.0465,12.5,0.005,0.751
2018-06-22,98.175,98.225,98.14,98.21,0.04825,12.5,0.005,0.754
2018-06-25,98.22,98.25,98.22,98.24,0.04825,12.5,0.005,0.7521
2018-06-26,98.24,98.26,98.195,98.2,0.0465,12.5,0.005,0.7514
2018-06-27,98.21,98.245,98.195,98.21,0.044,12.5,0.005,0.7495
2018-06-28,98.21,98.22,98.135,98.16,0.04425,12.5,0.005,0.7547
2018-06-29,98.15,98.18,98.09,98.095,0.046,12.5,0.005,0.7614
2018-07-03,98.095,98.13,98.07,98.115,0.048,12.5,0.005,0.7611
2018-07-04,98.115,98.125,98.105,98.105,0.047,12.5,0.005,0.7608
2018-07-05,98.105,98.115,98.085,98.09,0.04725,12.5,0.005,0.7615
2018-07-06,98.095,98.105,98.075,98.09,0.046,12.5,0.005,0.764
2018-07-09,98.085,98.085,98.055,98.075,0.04575,12.5,0.005,0.7629
2018-07-10,98.075,98.08,98.055,98.08,0.04525,12.5,0.005,0.7626
2018-07-11,98.095,98.095,98.035,98.07,0.0475,12.5,0.005,0.757
2018-07-12,98.06,98.08,98.05,98.075,0.04575,12.5,0.005,0.7602
2018-07-13,98.085,98.105,98.08,98.095,0.046,12.5,0.005,0.76
2018-07-16,98.09,98.095,98.07,98.085,0.0445,12.5,0.005,0.7612
2018-07-17,98.09,98.105,98.08,98.085,0.04425,12.5,0.005,0.7581
2018-07-18,98.09,98.1,98.075,98.085,0.0435,12.5,0.005,0.7594
2018-07-19,98.075,98.11,98.07,98.105,0.0445,12.5,0.005,0.7536
2018-07-20,98.1,98.115,98.06,98.075,0.04525,12.5,0.005,0.7609
2018-07-23,98.075,98.085,98.055,98.065,0.0425,12.5,0.005,0.7591
2018-07-24,98.065,98.075,98.05,98.06,0.04175,12.5,0.005,0.7602
2018-07-25,98.055,98.055,98.015,98.03,0.04075,12.5,0.005,0.7665
2018-07-26,98.015,98.045,97.995,98.005,0.04075,12.5,0.005,0.7647
2018-07-27,98,98.015,97.99,98.005,0.03775,12.5,0.005,0.7657
2018-07-30,97.995,98.03,97.98,98.02,0.03575,12.5,0.005,0.7672
2018-07-31,98.025,98.025,97.98,97.985,0.035,12.5,0.005,0.7688
2018-08-01,97.98,97.985,97.955,97.965,0.0355,12.5,0.005,0.7693
2018-08-02,97.965,97.99,97.945,97.96,0.03625,12.5,0.005,0.7679
2018-08-03,97.945,97.96,97.93,97.95,0.03625,12.5,0.005,0.7698
2018-08-07,97.94,97.94,97.91,97.92,0.0365,12.5,0.005,0.7661
2018-08-08,97.915,97.92,97.9,97.905,0.03625,12.5,0.005,0.768
2018-08-09,97.91,97.935,97.905,97.92,0.03475,12.5,0.005,0.7663
2018-08-10,97.94,97.955,97.91,97.955,0.0355,12.5,0.005,0.7609
