time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2014-10-31,97.692,97.742,97.672,97.732,0.0855,15,0.005,0.8798
2014-11-03,97.722,97.802,97.702,97.782,0.0865,15,0.005,0.8681
2014-11-04,97.772,97.802,97.722,97.742,0.088,15,0.005,0.8738
2014-11-05,97.752,97.782,97.732,97.772,0.087,15,0.005,0.8594
2014-11-06,97.762,97.792,97.752,97.772,0.085,15,0.005,0.8559
2014-11-07,97.772,97.772,97.692,97.702,0.086,15,0.005,0.8637
2014-11-10,97.702,97.762,97.692,97.752,0.084,15,0.005,0.8622
2014-11-11,97.752,97.782,97.712,97.722,0.0845,15,0.005,0.8686
2014-11-12,97.722,97.722,97.672,97.702,0.082,15,0.005,0.8719
2014-11-13,97.692,97.732,97.672,97.692,0.077,15,0.005,0.8723
2014-11-14,97.682,97.712,97.682,97.702,0.0705,15,0.005,0.875
2014-11-17,97.692,97.742,97.682,97.732,0.068,15,0.005,0.8708
2014-11-18,97.732,97.732,97.692,97.732,0.065,15,0.005,0.872
2014-11-19,97.732,97.772,97.712,97.752,0.0635,15,0.005,0.8618
2014-11-20,97.752,97.772,97.722,97.762,0.0625,15,0.005,0.862
2014-11-21,97.762,97.772,97.742,97.762,0.06,15,0.005,0.867
2014-11-24,97.762,97.782,97.742,97.772,0.0595,15,0.005,0.8618
2014-11-25,97.772,97.822,97.752,97.802,0.0595,15,0.005,0.853
2014-11-26,97.802,97.872,97.792,97.872,0.0595,15,0.005,0.8548
2014-11-27,97.862,97.912,97.842,97.862,0.06,15,0.005,0.8545
2014-11-28,97.852,97.912,97.832,97.912,0.0605,15,0.005,0.8506
2014-12-01,97.902,97.962,97.882,97.962,0.0595,15,0.005,0.8491
2014-12-02,97.952,97.962,97.872,97.882,0.06,15,0.005,0.8445
2014-12-03,97.872,97.962,97.862,97.942,0.0625,15,0.005,0.8405
2014-12-04,97.942,98.002,97.912,97.952,0.065,15,0.005,0.8383
2014-12-05,97.982,98.062,97.982,98.002,0.0665,15,0.005,0.8316
2014-12-08,98.002,98.012,97.942,97.962,0.0665,15,0.005,0.8294
2014-12-09,97.957,98.052,97.947,98.007,0.06825,15,0.005,0.8293
2014-12-10,98.012,98.052,97.992,98.047,0.06875,15,0.005,0.8318
2014-12-11,98.047,98.137,98.047,98.102,0.07025,15,0.005,0.8272
2014-12-12,98.097,98.122,97.987,98.037,0.0755,15,0.005,0.8247
2014-12-15,98.037,98.162,98.032,98.072,0.079,15,0.005,0.8211
2014-12-16,98.067,98.077,98.017,98.067,0.08,15,0.005,0.8218
2014-12-17,98.067,98.147,98.047,98.117,0.082,15,0.005,0.8123
2014-12-18,98.117,98.117,98.027,98.087,0.084,15,0.005,0.8165
2014-12-19,98.077,98.107,98.007,98.017,0.0875,15,0.005,0.813
2014-12-22,98.007,98.087,98.007,98.077,0.0895,15,0.005,0.8135
2014-12-23,98.067,98.087,98.057,98.077,0.0875,15,0.005,0.8105
2014-12-24,98.077,98.077,98.027,98.057,0.086,15,0.005,0.811
2014-12-29,98.057,98.087,98.047,98.087,0.0845,15,0.005,0.8132
2014-12-30,98.087,98.157,98.077,98.157,0.0845,15,0.005,0.8183
2014-12-31,98.157,98.207,98.117,98.187,0.085,15,0.005,0.8175
2015-01-02,98.197,98.207,98.127,98.137,0.0845,15,0.005,0.8089
2015-01-05,98.127,98.197,98.117,98.177,0.0835,15,0.005,0.8083
2015-01-06,98.177,98.217,98.157,98.177,0.082,15,0.005,0.8084
2015-01-07,98.177,98.287,98.167,98.217,0.0825,15,0.005,0.8079
2015-01-08,98.207,98.247,98.147,98.167,0.084,15,0.005,0.8123
2015-01-09,98.157,98.187,98.147,98.177,0.08075,15,0.005,0.8204
2015-01-12,98.167,98.227,98.147,98.187,0.08175,15,0.005,0.8157
2015-01-13,98.177,98.257,98.167,98.237,0.08175,15,0.005,0.8166
2015-01-14,98.227,98.247,98.197,98.247,0.0775,15,0.005,0.815
2015-01-15,98.247,98.277,98.137,98.157,0.078,15,0.005,0.8217
2015-01-16,98.137,98.297,98.127,98.247,0.0835,15,0.005,0.8223
2015-01-19,98.237,98.257,98.167,98.197,0.083,15,0.005,0.8211
2015-01-20,98.197,98.207,98.147,98.167,0.0815,15,0.005,0.8172
2015-01-21,98.167,98.217,98.157,98.207,0.0795,15,0.005,0.8085
2015-01-22,98.197,98.307,98.177,98.237,0.082,15,0.005,0.8026
